1862	6.985
1863	6.977
1864	6.944
1865	6.953
1866	6.990
1867	6.964
1868	6.977
1869	6.946
1870	6.930
1871	6.936
1872	6.992
1873	6.960
1874	6.956
1875	6.914
1876	6.970
1877	7.000
1878	6.947
1879	6.942
1880	6.934
1881	6.963
1882	6.957
1883	6.943
1884	6.929
1885	6.920
1886	6.912
1887	6.913
1888	6.888
1889	6.900
1890	6.938
1891	6.929
1892	6.908
1893	6.927
1894	6.936
1895	6.902
1896	6.887
1897	6.908
1898	6.936
1899	6.945
1900	6.942
1901	6.902
1902	6.912
1903	6.980
1904	6.939
1905	6.949
1906	6.933
1907	6.931
1908	6.924
1909	6.949
1910	6.948
1911	6.953
1912	7.002
1913	6.993
1914	6.985
1915	6.977
1916	6.969
1917	6.909
1918	6.933
1919	6.932
1920	6.975
1921	6.960
1922	6.963
1923	6.972
1924	6.990
1925	6.981
1926	6.987
1927	6.980
1928	7.002
1929	6.977
1930	6.994
1931	6.965
1932	6.996
1933	6.965
1934	6.996
1935	6.984
1936	7.018
1937	6.984
1938	6.998
1939	6.964
1940	6.968
1941	6.925
1942	7.001
1943	7.008
1944	6.977
1945	7.003
1946	7.018
1947	7.004
1948	7.027
1949	7.049
1950	7.077
1951	6.972
1952	6.990
1953	6.995
1954	7.024
1955	7.001
1956	6.991
1957	7.017
1958	6.992
1959	7.007
1960	7.030
1961	7.054
1962	6.993
1963	6.981
1964	6.990
1965	6.974
1966	7.026
1967	7.036
1968	7.020
1969	7.019
1970	7.021
1971	7.006
1972	7.000
1973	6.960
1974	6.950
1975	6.939
1976	6.944
1977	6.949
1978	6.955
1979	6.960
1980	6.965
1981	6.970
1982	6.986
1983	7.024
1984	6.987
1985	7.037
1986	7.023
1987	7.010
1988	7.053
1989	7.083
1990	7.087
1991	6.995
1992	7.027
1993	7.037
1994	7.037
1995	7.027
1996	6.995
1997	7.033
1998	7.056
1999	7.051
2000	7.049
2001	7.051
2002	7.081
2003	7.076
2004	7.071
2005	7.056
2006	7.111
2007	7.095
2008	7.094
2009	7.061
2010	7.027
2011	7.037
2012	7.047
2013	7.026
2014	7.071
